Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status
-3.59,-6.17,10.38,0.0,0.0,0.0,1545103734294,0
-1.2099999,-5.81,7.1099997,0.04,-0.049999997,-0.17999999,1545103734494,0
-1.8,-5.22,9.03,-0.049999997,0.02,0.099999994,1545103734695,0
-2.8899999,-5.25,8.49,-0.02,0.14999999,-0.48999998,1545103734894,0
-1.91,-6.2999997,6.67,0.03,-0.16,0.55,1545103735095,0
-1.81,-5.13,4.93,-0.11,0.01,-0.22999999,1545103735294,0
-3.55,-6.0099998,9.86,0.03,-0.16,-0.08,1545103735494,0
-0.77,-7.99,7.45,-0.04,-0.19,-0.07,1545103735695,0
0.12,-5.5899997,4.0299997,-0.13,0.04,-0.13,1545103735894,0
0.12,-5.5899997,4.0299997,0.01,0.14,0.089999996,1545103736094,0
-2.29,-6.0099998,7.64,-0.04,-0.07,0.19999999,1545103736293,0
-0.26999998,-3.56,4.31,0.049999997,0.0,-0.049999997,1545103736493,0
-2.54,-5.77,8.97,-0.07,0.02,-0.16,1545103736694,0
-2.78,-6.7799997,7.0899997,0.03,0.099999994,0.12,1545103736893,0
-3.4099998,-5.69,7.6299996,0.14999999,-0.04,0.21,1545103737093,0
-0.90999997,-6.3199997,8.21,0.01,-0.07,-0.03,1545103737293,0
-1.43,-4.54,6.37,0.03,0.12,-0.11,1545103737493,0
-3.0,-5.56,7.99,-0.02,0.0,0.08,1545103737694,0
-0.83,-4.5099998,7.7999997,-0.03,-0.08,0.11,1545103737893,0
-2.4099998,-4.5499997,10.49,0.089999996,0.01,0.07,1545103738093,0
-1.1,-6.18,6.5299997,-0.03,0.0,0.08,1545103738293,0
-3.6499999,-5.13,10.57,0.06,0.03,0.08,1545103738493,0
-2.71,-5.29,4.7,0.01,-0.06,-0.03,1545103738693,0
-1.8499999,-6.48,5.65,-0.01,-0.07,0.06,1545103738893,0
-3.57,-6.83,11.37,0.049999997,0.08,-0.24,1545103739093,0
-3.57,-6.83,11.37,0.02,-0.13,0.45,1545103739293,0
-3.3799999,-5.72,9.5,-0.01,0.04,-0.42,1545103739494,0
-2.1699998,-6.75,8.389999,0.01,-0.14999999,0.31,1545103739695,0
-4.27,-5.94,8.67,0.089999996,-0.38,0.0,1545103739894,0
-3.3899999,-6.5899997,10.429999,0.02,-0.21,-0.26,1545103740094,0
-1.4499999,-5.87,3.76,0.17999999,-0.57,-0.44,1545103740294,0
0.04,1.73,9.59,-0.089999996,-0.78,-0.83,1545103740532,1
0.04,1.73,9.59,-0.26999998,-1.5699999,-1.48,1545103740695,1
-2.61,2.79,1.9,-0.22999999,-2.6799998,-3.07,1545103740894,1
9.48,16.25,-1.86,-0.91999996,-0.42999998,-1.27,1545103741094,1
1.9799999,0.78,0.52,-0.84999996,-0.68,-1.52,1545103741294,1
3.3799999,5.89,0.22999999,-1.8199999,0.94,-1.18,1545103741494,1
1.91,8.61,4.42,-1.3299999,-0.16,3.31,1545103741695,1
12.4,-9.719999,7.08,-0.7,-0.32999998,-1.04,1545103741894,1
9.599999,-4.15,6.72,-0.7,-0.62,0.26,1545103742094,1
14.91,5.95,12.62,0.06,-0.69,-0.39999998,1545103742294,1
27.01,2.8799999,0.47,-0.01,0.35999998,-0.37,1545103742497,0
9.07,0.96,4.5699997,0.02,0.12,0.049999997,1545103742693,0
9.679999,-2.56,3.6799998,-0.01,-0.03,0.04,1545103742893,0
8.96,-2.7,2.79,0.0,-0.02,0.07,1545103743093,0
9.13,-2.3,2.96,0.0,0.0,-0.01,1545103743293,0
9.11,-2.35,3.08,0.0,0.0,0.0,1545103743493,0
9.11,-2.37,3.07,0.0,0.0,0.02,1545103743693,0
9.08,-2.29,3.05,0.0,0.0,0.0,1545103743893,0
9.11,-2.34,3.03,0.0,0.0,0.0,1545103744093,0
