Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status,Acc
-0.44,5.62,9.2,-0.01,-0.01,0.0,1544081764612,0,10.789717327159224
1.28,6.56,11.219999,-0.14999999,0.06,-0.08,1544081764813,0,13.059876628820081
0.02,7.39,7.96,0.14999999,0.07,0.06,1544081765018,0,10.861588281646473
-0.38,4.41,8.559999,0.14999999,0.07,0.06,1544081765212,0,9.636704980438127
0.17,5.7799997,8.639999,-0.07,-0.099999994,-0.39,1544081765412,0,10.396483985078854
0.32,6.48,6.94,-0.01,0.04,0.35,1544081765613,0,9.50033683613376
0.71999997,5.25,14.599999,-0.01,0.04,0.35,1544081765812,0,15.531930683492025
-0.59999996,5.12,6.77,0.049999997,0.04,-0.049999997,1544081766012,0,8.509247907541535
-1.18,4.39,12.099999,-0.04,0.0,-0.22999999,1544081766212,0,12.925729217340159
-1.5999999,4.02,9.61,-0.01,-0.07,-0.01,1544081766411,0,10.539093873763532
1.81,7.1499996,5.0699997,0.19,0.03,0.0,1544081766611,0,8.950055376253282
0.41,8.23,7.04,-0.04,0.049999997,-0.24,1544081766813,0,10.838016423681964
0.19,4.95,8.58,-0.01,0.02,-0.03,1544081767011,0,9.907320525752661
0.08,5.5899997,6.8799996,-0.03,-0.049999997,-0.17999999,1544081767212,0,8.865037571381198
0.26,6.2,8.929999,-0.02,0.01,-0.02,1544081767412,0,10.87439571378571
-0.53,6.6299996,6.0,0.16,-0.06,-0.049999997,1544081767612,0,8.957555174041639
0.55,5.6099997,7.0299997,0.16,-0.06,-0.049999997,1544081767812,0,9.01085414464135
0.0,4.73,12.0,0.01,-0.03,0.16,1544081768012,0,12.898561935347677
0.0,4.11,8.24,0.03,0.04,-0.11,1544081768212,0,9.20813227533141
0.19,6.62,10.33,0.03,-0.049999997,-0.38,1544081768412,0,12.270672353216836
-0.14,7.0899997,6.2599998,-0.04,-0.16,-0.03,1544081768612,0,9.459138081347588
0.32,5.43,10.48,0.01,0.01,0.44,1544081768812,0,11.807527260184496
-0.85999995,6.24,4.33,-0.17999999,-0.01,-0.21,1544081769012,0,7.64369674398455
0.35999998,4.6,11.62,-0.04,0.0,0.25,1544081769212,0,12.50255973733379
-1.8199999,0.53,13.87,0.049999997,0.08,0.25,1544081769412,0,13.998935660827932
-0.56,4.5699997,7.48,-0.14,0.02,-0.19,1544081769612,0,8.783444498486919
-1.42,5.15,9.0199995,0.049999997,0.11,0.14999999,1544081769812,0,10.483286268150854
-0.59999996,5.29,8.4,-0.049999997,-0.02,-0.26999998,1544081770012,0,9.945054044699807
0.95,6.89,5.74,-0.089999996,-0.06,-0.16,1544081770212,0,9.01788223476
-1.02,6.45,8.12,0.12,-0.14999999,0.11,1544081770412,0,10.420043186090927
0.81,6.7799997,6.02,0.049999997,-0.01,0.21,1544081770612,0,9.103015760285164
0.29,5.45,10.04,0.0,0.0,-0.04,1544081770811,0,11.427519415866243
-0.79999995,4.66,7.19,0.0,0.0,-0.04,1544081771012,0,8.605329739179087
-0.45,5.8599997,9.58,-0.08,0.0,-0.14999999,1544081771212,0,11.23915016733917
-0.21,6.85,9.719999,0.04,-0.089999996,0.11,1544081771423,1,11.893064388962205
-2.56,6.3999996,7.45,-0.099999994,-0.07,0.35999998,1544081771613,1,10.149684471942965
-0.7,3.4099998,10.809999,0.07,0.16,0.14999999,1544081771816,1,11.356679841221245
0.48,7.19,7.1499996,0.07,0.16,0.14999999,1544081772014,1,10.151305053046144
0.59999996,6.8399997,8.11,-0.26999998,0.02,0.04,1544081772212,1,10.626273845897257
-2.99,1.5699999,10.51,0.21,0.04,-0.13,1544081772412,1,11.039252677876343
-0.29,1.36,10.7699995,0.0,0.17999999,-0.08,1544081772611,1,10.859400960918622
-3.72,5.3599997,8.9,0.19999999,0.13,-0.24,1544081772815,1,11.035306827814082
-2.62,4.95,7.31,0.19999999,0.13,-0.24,1544081773012,1,9.208854434727481
-2.1,4.8399997,8.62,-0.19999999,0.17,0.25,1544081773212,1,10.106433450827254
-1.3199999,5.31,8.54,-0.06,-0.049999997,-0.14,1544081773411,1,10.142489819368812
-1.4699999,5.22,8.42,0.02,-0.01,0.0,1544081773612,0,10.015273321582393
-1.8199999,5.1099997,8.46,0.0,0.0,-0.01,1544081773814,0,10.04968141634351
-1.5699999,5.23,8.45,0.02,0.0,-0.01,1544081774013,0,10.060829970037263
-1.8299999,5.33,8.389999,0.02,0.0,-0.01,1544081774212,0,10.106922521420703
-1.6899999,5.3599997,8.4,0.01,0.0,0.0,1544081774411,0,10.106715413327917
