Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status,Acc
0.32,6.89,7.46,-0.02,0.01,0.14999999,1544505712160,0,10.160024606269417
-0.42999998,7.0299997,6.87,0.03,-0.02,-0.19,1544505712362,0,9.838836098075834
0.03,7.3999996,7.66,0.0,0.02,0.03,1544505712558,0,10.650656978797137
0.17999999,6.6,7.87,0.0,-0.03,-0.08,1544505712758,0,10.272745494579334
0.21,7.39,6.79,-0.02,0.04,0.24,1544505712958,0,10.037943016375417
-0.11,4.44,9.84,0.01,0.04,0.01,1544505713158,0,10.795892737518283
-1.14,4.8599997,7.69,0.01,0.04,0.01,1544505713560,0,9.168167596853806
-1.6899999,4.87,7.9199996,-0.03,0.02,0.089999996,1544505713759,0,9.449835624284699
-1.54,5.74,8.67,0.0,0.01,0.16,1544505713959,0,10.511331980296312
1.26,7.4199996,7.43,0.0,0.21,0.28,1544505714167,0,10.575863750257005
0.78999996,5.69,8.0,0.0,0.21,0.28,1544505714359,0,9.848867952044031
-0.59,6.97,7.39,-0.06,0.14999999,-0.04,1544505714559,0,10.175514728995285
-0.12,7.56,6.79,0.089999996,-0.03,-0.35,1544505714759,0,10.16228812817271
-0.07,6.97,8.94,0.02,-0.02,-0.06,1544505714959,0,11.336198657398343
-1.04,5.43,9.36,-0.02,-0.02,-0.02,1544505715159,0,10.87088312879869
-1.15,7.45,7.7799997,-0.02,0.07,0.13,1544505715359,0,10.832977214598031
-1.1899999,5.7799997,8.309999,0.099999994,-0.22,-0.45999998,1544505715559,0,10.192182282220088
-1.4499999,5.18,8.5199995,0.08,-0.17999999,-0.28,1544505715759,0,10.075975942309523
-1.26,5.73,8.84,-0.06,0.07,0.32,1544505715959,0,10.609717244111645
-1.13,6.22,7.33,0.03,-0.22999999,-0.34,1544505716159,0,9.679576437014173
-1.76,6.2599998,7.91,-0.03,0.14,0.61,1544505716360,0,10.239789914641806
0.55,6.04,6.39,-0.03,0.14,0.61,1544505716559,0,8.810005675367071
2.02,5.97,6.46,-0.01,0.16,0.38,1544505716759,0,9.025126037901078
-0.52,7.5699997,7.5,0.04,0.02,-0.13,1544505716959,0,10.66889382541602
-0.12,6.5299997,6.94,0.099999994,0.0,-0.11,1544505717159,0,9.52989486206433
-1.2099999,7.8399997,7.85,0.02,-0.08,-0.19999999,1544505717360,0,11.160295473418259
-0.11,7.8999996,8.24,0.02,-0.08,-0.19999999,1544505717559,0,11.415765137738257
-1.9,5.3199997,7.6,0.04,-0.19999999,-0.42999998,1544505717759,0,9.469551035186415
-1.92,6.75,7.71,0.04,-0.25,-0.32,1544505717959,0,10.42559350828527
-0.88,6.75,6.43,-0.08,0.04,0.52,1544505718159,0,9.363856043318906
-0.42,5.73,9.01,-0.03,0.089999996,0.35,1544505718358,0,10.68594403878291
-1.18,6.39,7.5499997,0.03,0.0,-0.099999994,1544505718559,0,9.961274791410991
-0.11,4.8399997,8.2699995,0.08,-0.12,-0.26999998,1544505718758,0,9.582827809472544
-0.35999998,7.3599997,6.1099997,-0.01,0.049999997,0.29,1544505718971,1,9.57242351254896
1.6999999,-1.92,1.92,-0.12,0.14999999,0.69,1544505719162,1,3.203560466106424
-0.48,1.29,12.66,0.04,-0.01,-0.12,1544505719364,1,12.73460246729359
0.74,5.06,7.69,0.04,-0.01,-0.12,1544505719558,1,9.235112343658846
0.97999996,6.24,9.0199995,0.099999994,-0.19,0.0,1544505719758,1,11.011738777395706
0.35999998,5.04,7.72,0.04,-0.089999996,0.12,1544505719958,1,9.22657032626967
1.09,5.41,9.83,-0.07,-0.11,-0.02,1544505720158,1,11.273202739239634
1.1,6.04,8.2,-0.02,0.03,0.19,1544505720358,1,10.243612643984543
0.59999996,5.7,8.349999,0.01,-0.04,-0.07,1544505720569,0,10.127807425696886
0.34,5.74,8.28,0.0,0.01,0.01,1544505720759,0,10.080753940058253
0.61,5.79,8.21,0.0,0.01,0.04,1544505720998,0,10.064805015498314
0.78999996,5.69,8.349999,0.01,0.01,-0.03,1544505721161,0,10.135219940228284
0.62,5.71,8.349999,0.01,0.04,0.02,1544505721361,0,10.134642731739536
0.29,5.67,8.05,0.01,0.04,0.02,1544505721558,0,9.850659876373765
0.5,5.83,8.11,0.04,0.02,-0.099999994,1544505721758,0,10.000549984875832
-0.12,5.95,8.21,0.01,0.049999997,0.049999997,1544505721958,0,10.140069033295584
-0.28,6.0299997,8.0,0.01,-0.01,-0.07,1544505722158,0,10.021940749276064
