Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status,Acc
-0.01,8.01,7.45,0.049999997,0.0,-0.03,1544505736058,0,10.9390447480573
-0.82,5.97,7.5,0.03,-0.06,-0.02,1544505736258,0,9.620982278333122
-0.85999995,3.84,8.059999,0.0,0.0,0.0,1544505736458,0,8.969324600771287
-1.06,5.38,8.47,-0.01,0.0,0.0,1544505736658,0,10.090039643133222
0.91999996,8.309999,4.73,-0.02,0.01,0.22,1544505736858,0,9.60600766741319
0.22,7.54,6.8199997,-0.02,0.01,0.22,1544505737059,0,10.169188557008868
0.96999997,7.54,7.75,0.08,-0.02,-0.01,1544505737259,0,10.856104270952818
-1.04,6.14,8.78,0.08,-0.12,-0.39,1544505737458,0,10.76427424399806
-1.87,4.0499997,9.54,0.02,-0.099999994,-0.22999999,1544505737659,0,10.531429037409884
-1.81,3.4099998,10.46,0.0,-0.19,-0.07,1544505737859,0,11.149699486353883
-2.11,5.3199997,7.68,-0.06,0.02,0.42,1544505738059,0,9.577938024856921
-1.29,5.06,9.51,0.01,0.099999994,0.089999996,1544505738260,0,10.849322559496514
-0.82,5.44,9.71,0.01,0.099999994,0.089999996,1544505738459,0,11.160201611082124
-0.91999996,5.52,10.929999,0.02,-0.049999997,-0.32999998,1544505738658,0,12.279319120635355
-2.1299999,5.19,9.09,0.01,-0.07,-0.19999999,1544505738859,0,10.681811624158142
-0.24,5.92,8.429999,-0.04,0.0,0.04,1544505739059,0,10.30382856709102
-1.18,5.6,9.21,0.02,-0.099999994,-0.12,1544505739259,0,10.84326980204772
-0.11,6.67,7.52,-0.08,0.0,0.089999996,1544505739459,0,10.05243254142996
0.74,6.12,7.1,-0.04,0.099999994,0.39,1544505739659,0,9.402765550623924
1.5699999,7.62,5.83,-0.01,-0.03,0.06,1544505739859,0,9.72204709338522
0.26,6.2999997,7.5099998,0.03,0.01,0.11,1544505740059,0,9.806002917397084
0.24,7.14,5.0499997,0.11,-0.049999997,-0.11,1544505740258,0,8.748696872677671
-0.58,5.8399997,9.75,0.11,-0.049999997,-0.11,1544505740459,0,11.38000423971802
-0.72999996,6.69,6.46,-0.049999997,0.12,0.29,1544505740659,0,9.32848326050918
-1.9599999,4.81,11.33,0.0,0.16,0.19999999,1544505740859,0,12.463811600309112
0.25,6.43,8.23,0.0,0.03,-0.14,1544505741059,0,10.447023499542825
-0.88,7.08,7.2599998,0.0,0.03,-0.14,1544505741258,0,10.178821007169743
-0.59999996,6.97,8.139999,0.07,0.02,0.02,1544505741459,0,10.733148823714362
-0.42,6.99,7.2799997,0.11,0.01,-0.35,1544505741659,0,10.101232381843321
0.66999996,5.58,8.67,0.06,-0.25,-0.68,1544505741859,0,10.332192407538683
-1.9499999,5.3199997,8.09,0.0,-0.19,-0.13,1544505742059,0,9.876892042439266
0.19,7.08,7.1299996,-0.01,-0.049999997,0.21,1544505742259,0,10.049845486175405
-1.8399999,5.39,7.64,-0.01,-0.049999997,0.21,1544505742459,0,9.529286417775467
-1.26,4.6,8.679999,-0.03,0.03,0.28,1544505742659,0,9.904038703478546
-1.0799999,5.98,7.7,-0.02,0.0,0.17,1544505742859,0,9.809016249553267
-1.54,3.72,12.65,-0.02,0.0,0.17,1544505743058,1,13.275258942860589
-1.3,3.1499999,9.91,-0.19,0.06,0.39999998,1544505743259,1,10.479532402259178
-0.82,2.6299999,11.94,0.06,-0.19,-0.38,1544505743462,1,12.253689218925048
1.5799999,5.8799996,9.34,0.03,-0.11,0.32,1544505743671,1,11.149277778403414
1.06,6.29,6.35,0.03,-0.11,0.32,1544505743858,1,9.000566648828283
1.64,5.91,8.349999,-0.049999997,-0.11,0.0,1544505744059,1,10.360510764436327
0.71,6.1299996,8.13,-0.049999997,-0.11,0.0,1544505744263,0,10.206757325223334
0.16,6.0299997,8.13,0.0,0.06,0.17,1544505744458,0,10.123408338203102
0.5,5.8399997,8.16,0.0,0.19,0.17999999,1544505744659,0,10.04694961149901
-0.37,6.0,8.07,0.04,0.11,-0.17,1544505744858,0,10.062892228380468
-0.59999996,6.0099998,8.059999,0.04,0.11,-0.17,1544505745058,0,10.071925408182938
-1.03,6.12,8.0199995,0.04,0.16,-0.049999997,1544505745275,0,10.140793459093834
-0.91999996,6.33,7.3199997,0.0,0.13,-0.07,1544505745458,0,9.720992517968527
-1.8399999,5.72,8.05,0.02,0.04,-0.25,1544505745658,0,10.045222726848818
-1.5,6.06,8.2699995,0.0,0.049999997,0.14,1544505745858,0,10.361780335926847
