Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status,Acc
-0.14999999,4.67,10.34,0.0,0.0,0.0,1544081719602,0,11.346673521213166
0.35,4.2799997,8.58,0.0,0.0,0.01,1544081719802,0,9.594649416836454
-0.85999995,5.7999997,3.77,-0.08,0.01,0.06,1544081720002,0,6.97083183228516
-0.89,4.77,8.679999,0.049999997,0.049999997,0.19,1544081720202,0,9.944213525462986
0.11,5.8599997,8.47,-0.099999994,-0.13,-0.42999998,1544081720401,0,10.30012604214143
0.19,5.83,8.23,0.08,0.03,0.38,1544081720610,0,10.087512081777152
0.72999996,6.44,8.389999,0.08,0.03,0.38,1544081720802,0,10.601819804241204
1.1999999,6.19,8.86,0.03,-0.06,-0.24,1544081721002,0,10.874543657551797
1.8399999,6.56,9.65,-0.19,0.01,0.14,1544081721201,0,11.812776965303291
0.17,3.4499998,8.66,-0.14,0.0,-0.19,1544081721401,0,9.3234649471106
0.45999998,5.98,7.22,-0.04,-0.049999997,-0.21,1544081721601,0,9.386181331169775
-0.71,5.5299997,9.2,0.099999994,0.14999999,0.24,1544081721804,0,10.75755533018539
-0.79999995,5.0099998,8.86,0.16,-0.01,-0.17,1544081722001,0,10.20978442064278
-0.63,6.0099998,6.7799997,0.14,0.04,0.06,1544081722202,0,9.082146966879591
1.78,5.96,9.34,0.0,0.0,-0.22999999,1544081722402,0,11.221657631562282
-0.39999998,7.14,3.1499999,-0.02,-0.089999996,-0.41,1544081722602,0,7.814224168399574
0.29999998,5.2,7.68,-0.02,-0.089999996,-0.41,1544081722802,0,9.27967671786038
1.37,5.3199997,5.0699997,0.089999996,-0.11,0.07,1544081723002,0,7.475573139632853
-0.96999997,5.5899997,8.74,-0.02,0.0,0.44,1544081723202,0,10.420009433191511
-0.03,6.48,7.52,0.07,0.049999997,0.089999996,1544081723402,0,9.926817213991603
0.12,5.18,12.759999,0.08,0.0,0.17999999,1544081723602,0,13.77186895377679
0.08,5.19,8.5199995,0.11,0.01,0.28,1544081723801,0,9.976617236318143
-0.84999996,5.7999997,7.99,0.11,0.01,0.28,1544081724002,0,9.909722319621277
0.0,4.74,5.5499997,0.11,0.17,-0.01,1544081724202,0,7.298636630905808
0.75,1.99,10.59,-0.22,-0.01,-0.17,1544081724402,0,10.801421202786234
0.29999998,3.4199998,8.45,0.02,0.0,0.06,1544081724602,0,9.120794845845401
-1.37,4.97,10.21,-0.03,0.0,-0.04,1544081724802,0,11.437740161413007
0.5,4.22,9.08,0.04,-0.03,-0.17,1544081725003,0,10.02520822726391
-1.41,6.04,7.69,0.04,-0.03,-0.17,1544081725202,0,9.879564767741543
-0.12,4.56,6.92,-0.01,-0.02,-0.06,1544081725402,0,8.288208491586104
0.06,5.97,10.01,-0.17999999,0.0,-0.11,1544081725602,0,11.655239165285284
0.12,5.7999997,9.41,-0.13,-0.02,0.01,1544081725802,0,11.054523803402844
0.02,6.1,6.21,0.08,0.07,-0.04,1544081726001,1,8.704854967200774
0.19999999,5.04,9.34,-0.03,-0.04,-0.16,1544081726202,1,10.614951718966978
0.7,3.24,8.96,-0.22999999,-0.17999999,-0.35,1544081726406,1,9.553491508343953
-0.14999999,2.33,13.65,-0.22999999,-0.17999999,-0.35,1544081726601,1,13.848245376111734
-0.47,2.59,10.42,-0.25,-0.11,-0.14999999,1544081726802,1,10.74734385790275
-1.9599999,1.16,9.7,0.049999997,0.049999997,0.41,1544081727002,1,9.963794438264973
2.06,6.98,10.2699995,-0.099999994,-0.03,0.37,1544081727202,1,12.587171633452858
-0.32,6.1099997,7.98,0.07,-0.08,-0.19,1544081727401,1,10.055590302612776
-0.28,6.1299996,8.17,0.19,-0.01,-0.14999999,1544081727602,1,10.217837104593132
0.57,5.41,8.46,-0.03,-0.01,0.06,1544081727802,1,10.05806144343929
1.05,5.69,8.42,-0.01,0.02,0.07,1544081728001,1,10.216408370851275
-0.22999999,5.5,8.45,-0.01,0.02,0.07,1544081728202,1,10.084909518453797
0.35,5.52,8.73,0.0,0.04,0.049999997,1544081728405,1,10.334689158363691
0.04,5.52,8.41,0.0,0.03,-0.03,1544081728602,0,10.059826042233533
-0.19,5.23,8.47,0.0,0.03,0.0,1544081728802,0,9.956399951789804
-0.19,5.41,8.5,0.01,0.01,-0.02,1544081729003,0,10.077410381640712
0.0,5.44,8.51,0.01,0.01,-0.02,1544081729202,0,10.10018316665594
-0.32,5.43,8.5,0.01,0.01,-0.02,1544081729402,0,10.091446873466658
