Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status
-1.26,-4.88,7.6099997,0.08,0.19,-0.37,1545103536380,0
-1.26,-4.88,7.6099997,-0.03,-0.04,0.42,1545103536579,0
-1.52,-5.6099997,8.99,-0.099999994,-0.12,0.14,1545103536779,0
-1.52,-5.6099997,8.99,0.02,0.099999994,-0.13,1545103536979,0
-1.53,-6.89,7.2799997,0.0,0.049999997,-0.01,1545103537178,0
-1.65,-5.68,10.15,-0.06,-0.31,0.68,1545103537378,0
-3.54,-5.42,8.62,-0.03,-0.13,-0.01,1545103537578,0
-2.23,-3.9499998,10.87,0.03,0.0,-0.42999998,1545103537778,0
-1.8299999,-5.5,9.059999,-0.02,0.0,-0.049999997,1545103537978,0
-1.03,-4.61,7.1099997,-0.02,-0.12,0.14999999,1545103538178,0
-0.22999999,-5.6099997,6.06,0.089999996,0.01,-0.089999996,1545103538378,0
-3.6899998,-5.5899997,7.6,0.11,0.11,-0.099999994,1545103538578,0
-0.29999998,-3.54,9.929999,-0.16,-0.07,0.03,1545103538778,0
-3.3799999,-4.37,9.34,0.08,0.14999999,-0.099999994,1545103538978,0
-1.0,-4.96,6.8799996,0.01,0.13,-0.22999999,1545103539178,0
-2.18,-7.69,8.139999,0.02,-0.19,0.37,1545103539378,0
-1.4,-4.66,7.52,-0.049999997,-0.049999997,0.099999994,1545103539578,0
-3.9099998,-5.7799997,9.4,0.099999994,0.17,-0.26,1545103539778,0
-2.09,-3.21,8.849999,0.0,-0.07,0.28,1545103539978,0
-0.91999996,-4.87,8.099999,-0.19999999,-0.19999999,0.12,1545103540178,0
-0.91999996,-4.87,8.099999,0.04,0.13,-0.45,1545103540379,0
-2.5,-4.97,5.62,-0.049999997,0.0,-0.02,1545103540579,0
-1.56,-4.17,4.7799997,-0.02,-0.12,0.12,1545103540779,0
-1.1,-6.3199997,11.08,-0.08,-0.049999997,0.06,1545103540978,0
-0.97999996,-3.72,7.79,0.13,0.07,-0.21,1545103541179,0
-0.71999997,-3.1799998,8.48,-0.099999994,-0.14999999,0.19,1545103541380,0
-1.11,-5.56,10.309999,-0.12,-0.26999998,0.31,1545103541579,0
-0.63,-2.76,5.72,0.11,0.03,-0.38,1545103541780,0
-0.63,-2.76,5.72,-0.07,0.089999996,0.02,1545103541979,1
-3.34,-5.49,6.8799996,0.02,-0.29,0.06,1545103542179,1
-1.39,-7.91,6.04,-0.01,0.089999996,-0.52,1545103542379,1
-0.5,-3.62,5.97,0.13,-0.16,-0.07,1545103542579,1
0.63,0.0,14.25,0.08,-0.26999998,-0.06,1545103542779,1
-0.14999999,-3.51,13.65,-0.099999994,-0.35999998,-0.42999998,1545103542979,1
-1.48,-4.0299997,4.72,-0.06,-0.52,-0.82,1545103543179,1
6.37,1.3199999,5.1099997,-0.049999997,-1.12,-1.3199999,1545103543380,1
-22.029999,-23.9,28.4,-0.26,-2.23,-2.6,1545103543580,1
16.6,33.559998,-7.75,-0.65,-0.22,-0.03,1545103543780,1
14.12,4.64,12.24,-1.12,0.48,-1.9499999,1545103543987,1
9.13,2.45,2.49,-0.84999996,0.0,2.08,1545103544178,1
10.46,-4.22,4.6,-0.42999998,-0.17,0.45999998,1545103544378,1
9.309999,-3.33,2.75,0.0,0.01,-0.04,1545103544578,1
9.03,-2.07,3.4099998,0.04,0.06,-0.17999999,1545103544778,1
8.97,-2.21,3.1599998,0.0,0.0,-0.03,1545103544978,1
9.05,-2.6299999,3.22,-0.01,-0.04,0.099999994,1545103545178,0
9.099999,-2.29,3.31,0.0,0.0,0.0,1545103545378,0
9.04,-2.18,3.1799998,0.01,0.0,-0.03,1545103545578,0
9.09,-2.28,3.1,0.0,-0.01,0.02,1545103545778,0
9.12,-2.48,3.08,0.0,-0.01,0.02,1545103545978,0
9.24,-2.84,4.5499997,0.0,0.0,0.0,1545103546178,0
