Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status
-2.6499999,-5.3599997,8.16,0.0,0.0,0.0,1545103796294,0
-2.25,-4.0899997,7.8599997,-0.03,-0.089999996,0.07,1545103796494,0
-2.3799999,-3.9399998,8.2699995,-0.02,0.01,-0.24,1545103796694,0
-3.76,-6.21,7.58,-0.049999997,0.08,-0.089999996,1545103796894,0
-1.43,-5.04,8.66,0.0,-0.24,0.38,1545103797094,0
-2.32,-3.52,8.139999,0.099999994,0.11,-0.39999998,1545103797294,0
-2.32,-3.52,8.139999,0.03,0.14999999,-0.24,1545103797494,0
-2.76,-5.38,8.8,-0.089999996,0.22,0.24,1545103797694,0
-3.32,-5.71,10.139999,-0.14999999,-0.12,0.19,1545103797894,0
-1.9599999,-3.55,6.81,0.049999997,0.17999999,-0.14,1545103798094,0
-3.62,-4.11,9.49,-0.02,-0.06,0.29,1545103798293,0
-1.9799999,-3.35,8.639999,0.06,-0.19999999,0.12,1545103798493,0
-4.24,-5.8199997,9.0,-0.02,0.0,-0.19,1545103798693,0
-1.25,-4.72,4.42,-0.11,0.0,-0.12,1545103798892,0
-3.3999999,-5.0,8.71,0.07,0.19,-0.22,1545103799092,0
-2.3999999,-2.6,9.4,-0.11,-0.13,0.63,1545103799293,0
-3.97,-4.5499997,9.08,0.13,-0.07,-0.17,1545103799493,0
-5.9,-6.02,7.0099998,0.19,0.26999998,-0.56,1545103799692,0
-3.12,-6.69,7.54,-0.07,-0.28,0.47,1545103799892,0
-1.06,-1.66,12.19,-0.17,-0.59999996,-0.01,1545103800092,0
-0.84,-6.1099997,11.55,-0.14,-0.07,-0.39,1545103800292,0
-3.12,-11.45,6.2999997,-0.06,-0.03,-0.089999996,1545103800493,0
-3.85,-8.25,1.06,-0.16,-0.04,0.0,1545103800693,1
-0.78,-1.0699999,4.67,-0.04,-0.12,-0.25,1545103800893,1
-2.0,-6.45,11.639999,-0.049999997,-0.28,-0.39,1545103801093,1
-4.37,-10.84,-0.72999996,-0.26,-0.48,-0.64,1545103801293,1
-4.37,-10.84,-0.72999996,-0.11,-1.02,-1.76,1545103801493,1
-3.0,-1.3,3.3999999,-0.03,-1.81,-3.0,1545103801694,1
7.85,6.47,-12.71,-0.42,-0.65,-3.12,1545103801894,1
0.17,13.67,-0.85999995,-1.3199999,-0.26999998,-6.83,1545103802094,1
3.29,10.9,6.0299997,0.17999999,0.88,-0.7,1545103802294,1
2.75,10.059999,1.23,0.06,-0.08,-0.17,1545103802493,1
2.6599998,9.62,0.17999999,0.01,0.0,-0.02,1545103802693,1
2.6699998,9.58,0.39,0.0,0.0,0.0,1545103802922,0
2.62,9.719999,0.42,0.0,-0.01,0.0,1545103803093,0
2.58,9.69,0.39999998,0.0,0.0,0.0,1545103803292,0
2.6699998,9.59,0.39,0.0,0.0,0.0,1545103803492,0
2.6499999,9.599999,0.42,0.0,0.0,0.0,1545103803693,0
2.6399999,9.639999,0.42999998,0.0,0.0,0.0,1545103803892,0
2.6499999,9.58,0.41,0.0,0.0,0.0,1545103804092,0
2.61,9.639999,0.42999998,0.0,0.0,0.0,1545103804292,0
