Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status
-2.1499999,-5.8399997,8.67,0.0,0.0,0.0,1545104125291,0
-1.31,-6.33,6.3199997,0.0,-0.01,-0.16,1545104125491,0
-1.09,-5.04,6.5699997,0.04,0.07,0.099999994,1545104125691,0
-0.82,-5.46,11.17,0.06,0.049999997,-0.22,1545104125891,0
-1.28,-4.5299997,7.1499996,0.0,0.12,0.049999997,1545104126091,0
-2.2,-9.13,7.6,0.0,0.12,0.049999997,1545104126289,0
-1.5899999,-4.13,7.64,-0.099999994,0.02,0.31,1545104126491,0
-1.49,-6.21,8.13,0.06,0.16,-0.26999998,1545104126691,0
-0.95,-4.95,9.46,0.099999994,-0.19,0.14,1545104126891,0
-1.53,-3.6599998,12.32,0.099999994,-0.24,0.19999999,1545104127091,0
-1.54,-5.31,12.07,0.099999994,0.16,-0.39999998,1545104127289,0
-1.42,-5.92,5.31,-0.07,0.03,0.0,1545104127489,0
-0.29999998,-6.8999996,10.24,0.089999996,0.099999994,-0.06,1545104127689,0
-0.97999996,-5.93,5.42,-0.01,0.03,-0.04,1545104127889,0
-2.54,-6.35,5.75,-0.06,0.22999999,0.03,1545104128089,0
-2.1499999,-5.71,8.07,0.0,0.01,0.08,1545104128289,0
-2.11,-5.94,12.55,0.04,-0.089999996,0.19,1545104128489,0
-0.42,-2.82,8.559999,0.12,0.08,-0.06,1545104128689,0
-3.27,-3.73,10.37,0.049999997,0.04,0.19999999,1545104128889,0
-3.3,-5.68,9.929999,0.089999996,-0.24,0.29,1545104129089,0
-0.47,-5.94,6.35,-0.04,0.12,-0.56,1545104129289,0
-2.98,-5.8799996,6.7799997,-0.03,0.04,0.29,1545104129489,0
-2.45,-4.42,6.5099998,-0.08,-0.14,-0.03,1545104129689,0
-0.66999996,-6.7799997,7.47,-0.01,-0.099999994,-0.14999999,1545104129889,0
-0.81,-6.37,8.23,0.06,0.03,-0.26,1545104130089,0
-1.31,-5.56,8.55,0.089999996,0.0,0.07,1545104130289,0
-2.58,-5.79,11.74,0.01,-0.099999994,0.02,1545104130491,0
-0.77,-6.18,5.94,0.02,0.22999999,-0.65999997,1545104130691,0
-3.59,-9.639999,7.48,-0.03,-0.22,0.26999998,1545104130891,0
0.12,-1.4499999,10.599999,0.13,-0.39999998,-0.45,1545104131091,0
0.29999998,-2.0,7.39,0.01,-0.04,-0.59999996,1545104131291,0
-1.31,-4.25,4.77,0.01,-0.04,-0.59999996,1545104131491,0
-0.26999998,-3.57,4.3399997,-0.03,-0.29999998,-0.66999996,1545104131691,0
-2.6399999,-4.24,9.349999,-0.19,-0.53999996,-1.36,1545104131891,0
8.0199995,-2.55,4.11,-0.19,-0.53999996,-1.36,1545104132091,1
37.01,37.91,38.739998,-0.26,-1.23,-2.59,1545104132290,1
-15.25,-25.849998,38.719997,0.75,2.9099998,-4.36,1545104132489,1
-4.25,-29.39,-39.17,0.96,-0.59999996,-3.97,1545104132691,1
24.869999,18.619999,11.63,-0.55,1.3399999,-6.1,1545104132891,1
0.42,11.99,-0.53,-0.87,-0.82,0.90999997,1545104133090,1
0.91999996,9.19,1.4499999,0.049999997,0.26999998,-0.26999998,1545104133291,1
2.59,9.04,0.96,0.0,-0.03,0.03,1545104133491,1
1.88,9.63,1.5,0.0,-0.03,0.03,1545104133691,0
2.06,9.69,1.37,0.0,-0.01,0.0,1545104133891,0
1.79,9.61,1.3199999,0.0,0.0,0.0,1545104134089,0
1.93,9.599999,1.3,0.0,0.0,0.0,1545104134289,0
1.88,9.65,1.41,0.0,0.0,0.0,1545104134489,0
1.88,9.65,1.37,0.0,0.0,0.0,1545104134689,0
