Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status,Acc
0.0,5.7599998,9.49,-0.14,-0.01,-0.08,1544082109599,0,11.101247573854033
0.93,5.23,8.5,-0.07,0.0,0.32999998,1544082109799,0,10.023362709190964
1.26,5.47,9.05,-0.07,0.0,0.32999998,1544082109999,0,10.64946008021064
1.41,4.36,8.139999,-0.049999997,-0.08,-0.17,1544082110199,0,9.341160726590727
1.11,4.7599998,7.94,-0.19,-0.22,-0.35999998,1544082110399,0,9.32380277011478
-0.63,5.33,8.11,0.02,0.089999996,0.11,1544082110600,0,9.725116965877582
-0.06,4.35,9.75,0.02,0.089999996,0.11,1544082110800,0,10.676544384771693
1.88,4.5699997,9.099999,-0.17999999,-0.02,0.14,1544082111000,0,10.355157123771765
1.65,4.64,8.23,-0.13,-0.04,0.04,1544082111200,0,9.590881085698019
0.88,6.62,7.77,0.01,0.01,-0.01,1544082111400,0,10.245569774297572
0.45999998,5.5899997,8.79,-0.01,0.04,0.35999998,1544082111602,0,10.427070376074004
0.55,5.23,8.04,-0.01,0.04,0.35999998,1544082111800,0,9.607132766856092
0.96999997,4.11,9.75,-0.04,-0.049999997,-0.08,1544082112000,0,10.625229406549302
1.78,5.24,7.3799996,-0.089999996,-0.08,-0.02,1544082112200,0,9.224445462790712
1.24,5.68,9.75,0.14,-0.02,-0.089999996,1544082112400,0,11.351761977772439
0.71,6.1099997,7.7,-0.04,-0.01,0.17999999,1544082112599,0,9.855262367588196
1.24,5.39,8.66,-0.04,-0.01,0.17999999,1544082112800,0,10.275470792134051
0.93,5.62,8.849999,0.0,0.049999997,0.12,1544082113000,0,10.524817447348006
1.66,5.15,9.44,-0.02,-0.07,-0.19999999,1544082113200,0,10.880795007718875
-0.45,5.74,8.73,-0.07,0.02,0.06,1544082113400,0,10.457676606206562
0.9,5.21,8.13,0.089999996,0.07,0.48999998,1544082113606,0,9.697989482361796
1.3199999,6.3399997,7.81,0.089999996,0.07,0.48999998,1544082113800,0,10.145644185166367
1.79,3.83,9.7,0.099999994,-0.02,-0.02,1544082114000,0,10.581257014173694
2.11,5.31,9.23,-0.12,-0.16,-0.04,1544082114200,0,10.855464061936736
-0.28,5.8599997,9.13,0.01,0.0,0.0,1544082114400,0,10.85241431590225
0.26999998,5.7599998,8.71,0.12,-0.089999996,0.84,1544082114638,1,10.445793300903482
0.71999997,6.47,7.43,0.17,0.089999996,1.73,1544082114802,1,9.87847153950448
2.34,1.7199999,8.17,-0.26999998,0.0,1.03,1544082115005,1,8.670807324349907
5.18,0.97999996,6.97,0.22999999,0.089999996,0.9,1544082115198,1,8.739204764828433
4.62,0.25,9.12,0.29999998,0.24,1.13,1544082115399,1,10.226499889991688
4.2,5.18,8.45,0.68,0.28,0.87,1544082115599,1,10.764520425917729
3.72,-1.4499999,10.01,0.26,0.29999998,0.26,1544082115799,1,10.776873373571762
1.4699999,5.2,7.46,0.26,0.29999998,0.26,1544082116000,1,9.211541657399158
5.15,2.48,8.09,0.45,0.19,-0.37,1544082116199,1,9.905604474235785
2.85,4.7599998,9.16,-0.01,0.11,0.12,1544082116399,1,10.709140866381395
2.9299998,2.45,9.469999,-0.099999994,0.28,0.74,1544082116598,1,10.211184059059999
3.23,2.55,9.17,-0.03,0.14,0.24,1544082116798,1,10.05108451859798
2.9399998,5.14,9.38,0.25,0.16,0.03,1544082117003,1,11.092682219553575
1.65,3.51,8.15,0.16,0.11,0.03,1544082117199,1,9.025801903432182
2.7,4.1,8.13,-0.099999994,0.21,0.51,1544082117399,0,9.497204851955129
2.51,5.56,8.849999,0.14999999,0.13,0.39,1544082117599,0,10.748775851230734
2.9399998,4.16,10.01,-0.099999994,0.099999994,0.14999999,1544082117799,0,11.231620489671116
2.8899999,4.15,7.6299996,-0.099999994,0.099999994,0.14999999,1544082117999,0,9.153769350273151
2.47,4.96,9.24,0.12,0.03,-0.25,1544082118199,0,10.774047521706965
1.26,5.49,7.77,0.08,0.0,-0.26999998,1544082118399,0,9.596905751334646
0.72999996,4.23,8.2,-0.01,0.17,0.0,1544082118599,0,9.255582096313553
1.18,4.02,9.61,-0.049999997,0.0,-0.22,1544082118800,0,10.483553786765249
1.6899999,4.3199997,9.87,0.02,0.02,-0.099999994,1544082119000,0,10.905750642207078
1.3399999,2.74,7.81,0.06,0.049999997,-0.08,1544082119200,0,8.384467766769696
0.01,5.35,8.429999,-0.29,-0.01,-0.13,1544082119400,0,9.98436192953766
