Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status,Acc
1.01,4.73,10.07,-0.11,0.049999997,-0.02,1544082157890,0,11.171298044542542
-0.04,6.0699997,6.74,-0.099999994,-0.089999996,-0.31,1544082158090,0,9.070506951543562
-1.0799999,6.02,9.42,-0.03,-0.049999997,-0.25,1544082158290,0,11.231348974366348
-0.11,4.1,7.5,-0.08,0.049999997,0.37,1544082158489,0,8.548222037359583
1.68,6.5099998,8.23,-0.08,0.049999997,0.37,1544082158690,0,10.627106727421157
0.0,6.25,8.179999,-0.049999997,-0.17,-0.12,1544082158890,0,10.294410310454941
0.85999995,4.54,8.82,-0.08,-0.06,0.01,1544082159090,0,9.957087923384025
0.39999998,6.64,8.559999,-0.17,0.19999999,0.63,1544082159290,0,10.840810987375482
1.64,5.12,8.54,0.07,0.06,0.02,1544082159490,0,10.091362643369823
1.38,4.19,10.94,-0.16,0.01,0.17999999,1544082159690,0,11.7959357407541
1.4599999,5.66,7.69,-0.21,-0.25,-0.66999996,1544082159890,0,9.659363317941821
-1.11,2.45,8.04,-0.12,0.049999997,0.19,1544082160090,0,8.477983250750144
2.1,4.96,9.41,-0.11,0.049999997,-0.19,1544082160290,0,10.84249510029864
2.23,4.7999997,8.41,-0.03,-0.04,0.26999998,1544082160490,0,9.93685046279756
1.7199999,7.5499997,6.71,0.04,0.07,0.0,1544082160690,0,10.246218576919004
1.73,5.67,7.5,0.17,-0.11,-0.58,1544082160890,0,9.559905857277046
-0.47,5.94,8.7,0.03,-0.049999997,-0.02,1544082161090,0,10.544880274332185
0.71999997,6.2,8.76,0.0,0.03,0.38,1544082161290,0,10.756207508076441
0.87,3.85,9.059999,0.0,0.17999999,0.45999998,1544082161490,0,9.88245829133627
1.4399999,5.4,7.75,-0.16,-0.16,-0.55,1544082161690,0,9.554899251797478
1.8499999,5.7799997,10.33,-0.03,0.06,0.22,1544082161890,0,11.980809495272016
0.58,5.68,10.76,0.01,0.19999999,0.25,1544082162090,0,12.180985181831558
1.26,5.13,9.09,0.06,-0.04,-0.089999996,1544082162290,0,10.51344853033485
0.81,4.96,7.48,0.089999996,0.14,0.19,1544082162490,0,9.011553695118284
2.3899999,6.56,8.41,0.11,-0.07,-0.47,1544082162690,0,10.930407106873925
-0.14,4.4,10.51,-0.17,0.29999998,0.65,1544082162892,0,11.394722462613997
0.19999999,6.24,8.139999,-0.17,0.29999998,0.65,1544082163090,0,10.258517617862777
2.3,4.64,9.23,0.04,-0.089999996,-0.04,1544082163290,0,10.583595797270416
0.19,5.74,8.73,-0.01,-0.07,-0.21,1544082163490,0,10.449717699536194
1.48,6.02,8.9,0.14,-0.17999999,-0.61,1544082163689,0,10.846234369586524
-1.38,5.7999997,8.25,0.14,-0.17999999,-0.61,1544082163890,0,10.178747296204975
0.01,6.62,5.79,0.089999996,-0.06,0.11,1544082164090,0,8.794805284939514
0.03,6.06,8.34,0.14,-0.39,-0.099999994,1544082164290,0,10.309224025114597
2.3799999,5.0899997,10.679999,-0.02,-0.31,0.45999998,1544082164490,0,12.06792753997144
2.4199998,3.4199998,9.83,-0.13,-0.08,1.36,1544082164689,1,10.685583637031723
-0.48999998,7.19,10.86,1.15,0.53,1.76,1544082164893,1,13.033641086833716
4.85,3.1599998,7.0899997,0.17999999,0.21,1.4599999,1544082165095,1,9.152933654408303
1.13,8.97,11.57,0.17999999,0.21,1.4599999,1544082165289,1,14.683415815129667
1.1899999,5.8799996,10.67,1.4499999,0.35,0.45,1544082165489,1,12.240890288618722
6.6499996,0.14,7.29,0.69,0.32,0.53,1544082165689,1,9.868444390074869
-0.089999996,7.68,9.099999,-0.11,0.39,1.24,1544082165889,1,11.908000747366495
3.9099998,5.6299996,12.54,1.03,0.28,-0.76,1544082166089,1,14.291136901310553
4.0099998,5.69,11.57,0.42999998,0.32,0.81,1544082166289,1,13.502633017156322
1.14,4.63,9.04,0.45999998,0.14,-0.58,1544082166489,1,10.220474548669449
0.21,4.04,9.469999,-0.089999996,0.04,-0.42999998,1544082166690,1,10.297892068768297
0.47,6.71,8.2,0.099999994,-0.14,-0.35,1544082166889,1,10.605894587445228
0.84999996,5.38,7.6299996,0.0,0.0,-0.03,1544082167091,1,9.37463566374716
1.9599999,6.12,9.25,-0.06,-0.099999994,-0.17,1544082167289,0,11.263147855195722
1.3199999,6.92,7.8599997,0.25,0.049999997,-0.08,1544082167490,0,10.555017528171145
0.63,5.79,8.74,0.19,0.08,0.04,1544082167689,0,10.502790105491018
