Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status,Acc
-0.79999995,5.48,8.78,-0.07,-0.04,0.13,1544081975889,0,10.3806936145905
1.3199999,6.2799997,7.81,0.14999999,-0.06,-0.04,1544081976089,0,10.108258800011013
1.11,5.97,10.19,0.19999999,-0.02,0.22999999,1544081976289,0,11.862086662977976
1.79,6.0099998,9.05,0.08,0.03,0.089999996,1544081976489,0,11.01029961427027
0.01,5.42,9.22,0.01,0.07,0.08,1544081976690,0,10.695087657424788
1.76,2.59,6.73,-0.14,-0.11,0.0,1544081976889,0,7.422843121068908
0.84,4.8599997,6.81,0.11,0.12,0.14999999,1544081977089,0,8.408406334377526
-0.48999998,3.52,8.12,-0.03,0.02,0.0,1544081977289,0,8.863684334428882
0.59999996,4.0899997,9.09,-0.03,0.02,0.0,1544081977492,0,9.985799792605503
0.68,6.0899997,8.95,-0.29999998,-0.089999996,-0.04,1544081977690,0,10.846796593741402
-0.21,7.64,7.6099997,-0.21,0.049999997,0.0,1544081977890,0,10.78544368276058
-0.83,5.7,8.51,0.03,-0.049999997,-0.42999998,1544081978090,0,10.276137406632902
0.68,5.43,6.64,0.03,-0.19,-0.47,1544081978290,0,8.604469768672558
-0.58,4.47,9.58,0.08,-0.16,0.14,1544081978490,0,10.587431227639687
-0.35,5.66,5.2999997,-0.39999998,-0.21,-0.22999999,1544081978690,0,7.761964752561048
-1.81,9.26,8.34,0.12,-0.049999997,0.19999999,1544081978890,0,12.592827323520321
-0.90999997,3.85,7.6499996,0.29999998,0.14,0.7,1544081979090,0,8.612380264793245
-0.44,5.7,9.57,0.01,0.06,0.02,1544081979290,0,11.147578212329348
0.32,4.52,9.01,0.0,0.0,-0.11,1544081979491,0,10.085281354528489
0.68,3.58,8.62,0.0,0.0,-0.11,1544081979690,0,9.35858963733318
-0.11,5.64,7.5,0.02,0.049999997,-0.02,1544081979890,0,9.38465236436598
-0.35,6.68,7.87,-0.02,0.01,0.099999994,1544081980097,1,10.328688203252144
0.75,4.85,8.72,0.0,0.0,-0.03,1544081980294,1,10.006168097728521
1.3199999,4.7599998,8.46,0.0,-0.16,-0.32,1544081980493,1,9.796509471847617
-1.74,7.77,7.66,0.0,-0.16,-0.32,1544081980689,1,11.048805365287235
1.09,4.83,8.62,0.089999996,-0.19999999,0.42,1544081980889,1,9.9408953319105
-0.53,6.25,9.28,-0.049999997,0.02,1.14,1544081981089,1,11.200973172006082
1.6999999,6.04,10.099999,-0.02,0.099999994,1.15,1544081981289,1,11.890398624941092
2.4199998,4.33,8.51,0.19,0.29999998,1.3199999,1544081981489,1,9.850147157885512
2.78,3.7099998,9.37,0.19,0.42,1.3199999,1544081981689,1,10.454156996907978
1.05,4.58,8.05,0.35999998,0.39,0.94,1544081981889,1,9.321019257570494
1.4599999,4.2799997,9.51,0.42,0.44,0.62,1544081982089,1,10.530436702245549
2.31,5.2999997,6.8999996,0.16,0.35999998,0.42999998,1544081982289,1,9.00200484892117
0.93,4.93,9.09,0.19,0.39999998,0.71,1544081982494,1,10.382576751462038
1.02,4.42,9.78,0.39,0.45,0.38,1544081982689,1,10.780779192618684
1.18,5.71,7.5,0.01,0.39999998,0.28,1544081982889,1,9.499815787687675
1.65,4.43,9.719999,0.0,0.01,-1.15,1544081983089,1,10.808597529744596
-1.0699999,5.35,8.9,0.03,-0.14,-0.48999998,1544081983289,1,10.439224098849493
-0.58,6.44,7.3199997,0.03,-0.14,-0.48999998,1544081983489,0,9.766903071496108
-1.6999999,4.71,9.67,0.0,0.0,0.22,1544081983690,0,10.889582161864615
1.43,4.44,10.3,-0.03,0.03,0.19999999,1544081983895,0,11.30701109931356
-0.02,6.5,7.8799996,-0.03,0.03,0.19999999,1544081984089,0,10.214929940826817
-0.13,5.15,9.9,0.07,-0.049999997,-0.22999999,1544081984289,0,11.16017024959745
0.74,4.39,8.09,-0.12,0.01,0.24,1544081984489,0,9.234056530041387
-0.81,6.0299997,9.49,-0.01,0.089999996,0.14999999,1544081984689,0,11.272847749437588
0.9,5.91,7.29,-0.03,0.02,0.03,1544081984889,0,9.427735677245094
0.65999997,4.85,8.849999,-0.14,-0.02,-0.21,1544081985089,0,10.113386290476647
-1.51,3.8899999,11.48,-0.049999997,-0.14,-0.5,1544081985290,0,12.214851584116772
-1.89,4.5699997,10.12,0.02,0.06,0.5,1544081985489,0,11.26372040038282
0.53,5.37,9.599999,0.0,0.14,0.45,1544081985691,0,11.012619161670896
