Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status
0.84999996,5.5,8.889999,0.01,0.0,-0.48,1545104548404,0
1.3399999,1.0,13.92,-0.38,-0.02,-0.37,1545104548603,0
-1.9699999,4.2599998,8.309999,-0.38,-0.02,-0.37,1545104548804,0
1.9799999,5.9,9.0,0.049999997,0.089999996,0.62,1545104549005,0
1.93,3.79,9.03,0.01,0.0,-0.39999998,1545104549205,0
1.78,5.46,9.66,0.14,-0.17999999,-0.62,1545104549405,0
2.54,4.22,8.01,-0.59999996,0.01,0.089999996,1545104549605,0
-0.48999998,2.71,13.79,-0.59999996,0.01,0.089999996,1545104549804,0
1.62,5.2999997,8.309999,0.11,0.01,0.48,1545104550005,0
1.5799999,3.8899999,7.7599998,-0.01,-0.17,-0.41,1545104550205,0
3.01,6.0499997,7.73,0.29,-0.11,0.0,1545104550407,1
1.53,5.7599998,11.34,-0.07,0.11,0.39999998,1545104550610,1
1.37,2.07,7.66,-0.07,0.11,0.39999998,1545104550804,1
2.09,4.89,6.56,-0.049999997,0.03,0.22,1545104551004,1
3.05,5.16,8.33,0.089999996,-0.03,-0.099999994,1545104551203,1
0.59,4.69,6.47,0.08,0.01,-0.32,1545104551403,1
2.08,3.3899999,9.469999,0.04,0.02,0.089999996,1545104551603,1
0.21,2.46,7.91,-0.26,0.04,-0.39,1545104551805,1
1.1899999,10.07,3.4399998,0.17999999,-0.22,-0.35999998,1545104552004,1
1.42,-0.68,8.15,-1.37,0.25,0.69,1545104552205,1
-0.35999998,8.2,0.58,-1.37,0.25,0.69,1545104552405,1
-0.66999996,7.68,8.08,0.01,-0.12,-0.29,1545104552606,1
2.6299999,0.90999997,12.599999,0.14,0.12,0.55,1545104552803,1
0.97999996,10.2699995,18.529999,0.0,0.12,0.12,1545104553004,1
-1.9799999,-3.21,22.49,-1.49,-0.12,0.04,1545104553204,1
3.4199998,4.11,7.89,-0.61,0.099999994,0.26999998,1545104553404,1
1.99,2.4099998,8.73,-0.61,0.099999994,0.26999998,1545104553604,1
1.5699999,7.25,3.98,0.90999997,-0.099999994,-0.66999996,1545104553803,1
1.02,11.96,9.87,0.90999997,-0.099999994,-0.66999996,1545104554004,1
0.84999996,8.97,3.1,0.7,-0.08,0.01,1545104554204,1
1.92,8.23,3.1899998,0.42,-0.089999996,-0.44,1545104554405,1
1.0699999,13.37,-3.12,0.42,-0.089999996,-0.44,1545104554604,1
0.52,3.57,4.9,0.58,-0.17,-0.77,1545104554804,1
-2.37,2.73,11.45,0.08,0.17,0.59999996,1545104555004,1
1.5999999,4.22,8.309999,0.39,0.11,0.29,1545104555204,1
2.45,7.7799997,-1.49,-0.03,-0.24,-1.05,1545104555404,1
0.65,5.02,5.21,1.0699999,-0.12,0.37,1545104555604,1
4.65,-6.22,8.42,-0.29999998,0.22999999,0.83,1545104555804,1
0.049999997,1.8499999,12.2699995,-0.57,-0.07,0.0,1545104556005,1
-0.71,5.3399997,6.0099998,-0.57,-0.07,0.0,1545104556203,1
2.28,-0.72999996,12.08,0.82,0.06,0.45999998,1545104556404,1
1.4499999,2.75,4.38,-0.08,-0.01,-0.35999998,1545104556604,1
1.06,10.559999,-0.59,-0.26,-0.17,-0.68,1545104556817,0
-1.28,5.8199997,5.68,0.63,0.03,0.63,1545104557003,0
-1.53,8.2699995,5.62,0.14999999,0.14,0.17999999,1545104557204,0
1.24,0.59999996,11.759999,1.03,0.0,-0.53,1545104557404,0
1.6899999,0.14,11.65,-0.61,-0.16,-0.39,1545104557604,0
2.2,9.44,7.18,-0.32,-0.22,-0.02,1545104557804,0
2.26,1.65,13.48,0.26999998,-0.11,-0.65,1545104558005,0
2.02,3.4299998,10.86,-0.12,-0.01,0.089999996,1545104558204,0
